回報者名稱,時間,怪物 ID,怪物名稱,基本數值異動,移除掉落物,新增掉落物,移除地圖,新增地圖,地圖座標,是否修正,處理狀態
,2025/12/9 上午 9:49:47,2620,憤怒邪骸浪人,"血量: 96,535 -> 1,220,805
經驗值: ??? -> 1,123,515",,,,,,TRUE,成功於 2025-12-09 10:11 處理
Eric,2025/12/9 下午 12:42:41,1114,獵蠅,"物理防禦: 69 -> 89
魔法防禦: 50 -> 65",,,,,,TRUE,成功於 2025-12-09 13:31 處理
路過的豬,2025/12/9 下午 4:13:28,1197,腐屍戰俘,,,犯人服(15040),,,,TRUE,成功於 2026-01-27 10:01 處理
路過的豬,2025/12/9 下午 8:19:30,1197,腐屍戰俘,,,大盜手銬(2913),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/9 下午 9:01:26,1037,黑蛇,,,日本刀(500098),,,,TRUE,成功於 2026-01-27 10:01 處理
m,2025/12/10 上午 7:20:19,1109,小惡魔,,,剎勒空結晶(912),,,,TRUE,成功於 2026-01-27 10:02 處理
m,2025/12/10 上午 7:21:43,1109,小惡魔,,,雙刃長戟(630035),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/12 上午 11:05:05,2380,聖誕狸貓,"等級: 10 -> 50
血量: 10 -> 20,135
物理防禦: 1 -> 220
魔法防禦: 0 -> 80",,,,,,TRUE,成功於 2025-12-12 11:44 處理
,2025/12/12 上午 11:05:23,1062,聖誕波利,"等級: 1 -> 50
血量: 55 -> 25,000
經驗值: 2 -> 1
職業經驗值: 2 -> 1
物理防禦: 2 -> 220
魔法防禦: 5 -> 80",,,,,,TRUE,成功於 2025-12-12 11:44 處理
,2025/12/12 上午 11:05:40,2210,聖誕瘋兔,"等級: 1 -> 50
血量: 10 -> 25,000
物理防禦: 1 -> 220
魔法防禦: ??? -> 80",,,,,,TRUE,成功於 2025-12-12 11:44 處理
,2025/12/13 上午 11:08:21,1265,綠餅人,,十字弓(700116),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/13 下午 9:18:02,1243,雪熊,"血量: 67,818 -> 79,950
物理防禦: 101 -> 270
魔法防禦: 28 -> 48",,,,,,TRUE,成功於 2025-12-13 21:31 處理
,2025/12/13 下午 9:19:38,1243,雪熊,,柔毛(949),,,,,TRUE,成功於 2026-01-27 10:06 處理
青楓,2025/12/14 上午 1:35:58,1002,波利,"經驗值: ??? -> 150
職業經驗值: ??? -> 30",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:36:27,1063,瘋兔,"經驗值: 300 -> 150
職業經驗值: 32 -> 30",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:37:50,1007,綠棉蟲,"經驗值: 316 -> 158
職業經驗值: 42 -> 31",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:39:03,2398,寶貝波利,"經驗值: ??? -> 24
職業經驗值: ??? -> 4",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:39:54,1010,樹精,"經驗值: 320 -> 160
職業經驗值: 49 -> 32",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:41:37,1052,搖滾蝗蟲,"經驗值: 348 -> 174
職業經驗值: 72 -> 34",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:42:08,1167,小野豬,"經驗值: 344 -> 172
職業經驗值: 68 -> 34",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:43:20,1023,獸人戰士,"經驗值: 2,252 -> 1,959
職業經驗值: 594 -> 391",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:56:42,2210,聖誕瘋兔,"經驗值: ??? -> 2,500",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:56:53,2380,聖誕狸貓,"經驗值: 0 -> 2,500",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:57:06,1062,聖誕波利,"經驗值: 1 -> 2,500",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 1:58:39,1247,超級聖誕老公公,"等級: 10 -> 90
血量: ??? -> 100,000
物理防禦: 160 -> 500
魔法防禦: 0 -> 200",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:21:52,1248,玩具士兵,"經驗值: 44,281 -> 44,280",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:22:09,1249,邪惡禮盒,"經驗值: 42,121 -> 42,120",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:22:27,1265,綠餅人,"經驗值: 20,971 -> 18,874",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:22:50,1246,甜餅人,"經驗值: 21,930 -> 19,737",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:30:57,1128,鍬形蟲,經驗值: 996 -> 651,,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:31:18,1031,波波利,經驗值: 830 -> 532,,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:31:38,1057,溜溜猴,"經驗值: 1,352 -> 938",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:36:16,1174,瓢蟲,經驗值: 474 -> 237,,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:37:13,1056,狸貓,經驗值: ??? -> 423,,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:38:45,1100,艾斯蜘蛛,"經驗值: 2,486 -> 2,620",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:40:19,1100,艾斯蜘蛛,"經驗值: 2,486 -> 2,620
職業經驗值: 696 -> 481",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:44:32,1118,噬人花,"經驗值: 4,494 -> 5,203
職業經驗值: 1,247 -> 954",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:49:42,1099,艾吉歐蜈蚣,"經驗值: 10,012 -> 13,504
職業經驗值: 3,008 -> 2,475",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 2:49:42,1500,苗娃佩瑞絲,"經驗值: 10,306 -> 12,058",,,,,,TRUE,成功於 2025-12-14 14:56 處理
青楓,2025/12/14 上午 3:20:54,1170,鬼女,"經驗值: 3,840 -> 3,397",,,,,,TRUE,成功於 2025-12-14 14:57 處理
青楓,2025/12/14 上午 3:21:13,1026,殭屍,"經驗值: 3,178 -> 2,786",,,,,,TRUE,成功於 2025-12-14 14:57 處理
青楓,2025/12/14 上午 3:21:31,1277,將軍魔碑,"經驗值: 3,690 -> 3,337",,,,,,TRUE,成功於 2025-12-14 14:57 處理
青楓,2025/12/14 上午 3:21:45,1180,九尾狐,"經驗值: 5,414 -> 5,231",,,,,,TRUE,成功於 2025-12-14 14:57 處理
青楓,2025/12/14 上午 3:22:00,1110,土人,"經驗值: 4,426 -> 3,657",,,,,,TRUE,成功於 2025-12-14 14:57 處理
青楓,2025/12/14 上午 3:22:14,1129,鬼火,"經驗值: 4,124 -> 3,367",,,,,,TRUE,成功於 2025-12-14 14:57 處理
,2025/12/14 下午 6:57:56,1198,暗黑祭司,,,(服飾)十字架髮圈(歸屬)(401076),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/15 上午 2:21:12,1178,傑洛米,100%命中: 358 -> 378,,,,,,TRUE,成功於 2025-12-15 10:33 處理
,2025/12/15 上午 2:30:46,1207,史汀,95%迴避: 401 -> 360,,,,,,TRUE,成功於 2025-12-15 10:33 處理
,2025/12/15 下午 11:30:32,1271,鱷魚人,,,擊刺長劍(500113),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/17 下午 11:43:05,1283,凱美拉,等級: 125 -> 124,,,,,,TRUE,成功於 2025-12-18 05:59 處理
皮皮共,2025/12/17 下午 11:59:43,1060,大腳熊,"經驗值: 800 -> 517
職業經驗值: 195 -> 103",,,,,,TRUE,成功於 2025-12-18 05:59 處理
阿銀,2025/12/18 上午 12:19:11,1198,暗黑祭司,,骷髏頭(7005),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 上午 11:22:08,1264,人魚士兵,,德瑞尹長戟(1460),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 上午 11:30:01,1211,伊特瓢蟲,,,秘刃闇嘯(610083),,,,TRUE,成功於 2026-01-27 10:02 處理
,2025/12/18 上午 11:30:23,1216,梅納海葵,,,龍爪拳套(560079),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 上午 11:30:42,1269,古鐘魔,,,盜賊之衣(450317),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 上午 11:31:15,1213,獸人戰士長,,,"鋼鐵拳套(560084), 鋼鐵鎖子甲(450310)",,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 上午 11:31:39,1102,巫婆,,,"鋼鐵鎧甲(450315), 長柄短劍(510182)",,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 上午 11:31:56,1193,鐘怪,,,言靈魔杖(550164),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/18 上午 11:32:16,1189,獸人弓箭手,,,彎刀(500111),,,,TRUE,成功於 2026-01-27 10:06 處理
路過的豬,2025/12/18 下午 1:37:29,1193,鐘怪,,,緊身便衣(450313),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/18 下午 6:15:20,1193,鐘怪,"經驗值: ??? -> 32,896
職業經驗值: ??? -> 6,580",,,,,,TRUE,成功於 2025-12-18 19:44 處理
,2025/12/18 下午 6:19:14,1191,邪惡箱,"經驗值: ??? -> 1,127
職業經驗值: ??? -> 225",,,,,,TRUE,成功於 2025-12-18 19:44 處理
,2025/12/18 下午 6:52:13,1246,甜餅人,"經驗值: 19,737 -> 21,711
職業經驗值: ??? -> 4,342",,,,,,TRUE,成功於 2025-12-18 19:44 處理
,2025/12/18 下午 6:53:05,1265,綠餅人,"經驗值: 18,874 -> 20,762
職業經驗值: ??? -> 4,152",,,,,,TRUE,成功於 2025-12-18 19:44 處理
,2025/12/18 下午 6:53:59,1249,邪惡禮盒,"經驗值: 42,120 -> 46,333
職業經驗值: ??? -> 9,267",,,,,,TRUE,成功於 2025-12-18 19:44 處理
,2025/12/18 下午 6:55:29,1248,玩具士兵,"經驗值: 44,280 -> 48,709
職業經驗值: ??? -> 9,742",,,,,,TRUE,成功於 2025-12-18 19:44 處理
皮皮共,2025/12/18 下午 8:14:54,2884,菁英大腳熊,"經驗值: 12,000 -> 7,755
職業經驗值: 2,925 -> 1,545",,,,,,TRUE,成功於 2025-12-18 22:44 處理
家弘,2025/12/18 下午 8:37:05,2605,菁英腐屍首領,"職業經驗值: ??? -> 938,521",,,,,,TRUE,成功於 2025-12-18 22:44 處理
家弘,2025/12/18 下午 8:39:07,1291,狂暴惡靈,"職業經驗值: ??? -> 92,236",,,,,,TRUE,成功於 2025-12-18 22:44 處理
家弘,2025/12/18 下午 8:40:52,1298,腐屍首領,"職業經驗值: ??? -> 62,569",,,,,,TRUE,成功於 2025-12-18 22:44 處理
米米,2025/12/18 下午 9:18:54,1193,鐘怪,"血量: 5,562 -> 49,843",,,,,,TRUE,成功於 2025-12-18 22:44 處理
,2025/12/18 下午 9:27:53,1198,暗黑祭司,,,骷髏頭(7005),,,,TRUE,成功於 2026-01-27 10:06 處理
awei,2025/12/18 下午 11:32:51,1199,朽魔,,,昇龍拳套(560078),,,,TRUE,成功於 2026-01-27 10:01 處理
風星,2025/12/19 上午 12:24:02,1305,狂暴蜈蚣,"血量: 24,005 -> 383,122
物理防禦: 90 -> 180
魔法防禦: 41 -> 82",剎勒空結晶(912),,,,,TRUE,成功於 2026-01-27 10:06 處理
風星,2025/12/19 上午 12:25:05,1303,狂暴蜂兵,"血量: 26,521 -> 332,910
物理防禦: 80 -> 160
魔法防禦: 43 -> 86",,,,,,TRUE,成功於 2025-12-19 00:38 處理
,2025/12/19 上午 7:47:28,1252,卡崙,等級: 137 -> 98,,,,,,TRUE,成功於 2025-12-19 10:20 處理
奶油,2025/12/19 下午 2:05:48,1269,古鐘魔,"血量: 5,556 -> 36,490",,,,,,TRUE,成功於 2025-12-19 16:17 處理
奶油,2025/12/19 下午 2:06:25,1193,鐘怪,"血量: 49,843 -> 29,172",,,,,,TRUE,成功於 2025-12-19 16:17 處理
奶油,2025/12/19 下午 2:06:47,1270,鐘塔守護者,"血量: 6,400 -> 57,825",,,,,,TRUE,成功於 2025-12-19 16:17 處理
奶油,2025/12/19 下午 2:08:02,1131,裘卡,"血量: 6,022 -> 115,648
物理防禦: 64 -> 300",,,,,,TRUE,成功於 2025-12-19 16:17 處理
奶油,2025/12/19 下午 2:08:28,1216,梅納海葵,"血量: 4,589 -> 99,350",,,,,,TRUE,成功於 2025-12-19 16:17 處理
奶油,2025/12/19 下午 2:09:04,1102,巫婆,"血量: 5,242 -> 106,304
魔法防禦: 89 -> 150",,,,,,TRUE,成功於 2025-12-19 16:17 處理
奶油,2025/12/19 下午 2:09:45,1377,邪靈魔導士,"血量: 7,341 -> 71,576",,,,,,TRUE,成功於 2025-12-19 16:17 處理
,2025/12/20 上午 8:49:09,1216,梅納海葵,,,戰士長靴(470230),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/20 上午 9:01:10,1209,藍鼠,,,亞爾特劍(600049),,,,TRUE,成功於 2026-01-27 10:01 處理
破穗,2025/12/20 下午 12:20:08,2288,瘋狂寶箱,血量: 5 -> 20,,"公會勳章(1000030), 豐厚的公會鑄幣袋子(100110)",,,,TRUE,成功於 2026-01-27 10:01 處理
破穗,2025/12/20 下午 12:21:22,1291,狂暴惡靈,"血量: 25,990 -> 448,331
物理防禦: 88 -> 176
魔法防禦: 56 -> 112",,公會基地鑄幣(25630),,,,TRUE,成功於 2026-01-27 10:01 處理
破穗,2025/12/20 下午 12:22:46,1298,腐屍首領,"血量: 25,510 -> 298,538
物理防禦: 78 -> 156
魔法防禦: 46 -> 92",,公會基地鑄幣(25630),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/20 下午 9:37:14,2838,狡猾闇神官,"經驗值: ??? -> 169,921
職業經驗值: ??? -> 33,976",,,,,,TRUE,成功於 2025-12-20 21:49 處理
奶油,2025/12/20 下午 9:45:02,2717,憤怒梅納海葵,"血量: 22,945 -> 936,794",,,,,,TRUE,成功於 2025-12-20 21:49 處理
法師,2025/12/21 下午 3:40:19,1198,暗黑祭司,,骷髏頭(7005),,,,,TRUE,成功於 2026-01-27 10:06 處理
奶油,2025/12/21 下午 8:09:16,2717,憤怒梅納海葵,"血量: 936,794 -> 993,500
職業經驗值: ??? -> 119,221",,,,,,TRUE,成功於 2025-12-21 20:55 處理
奶油,2025/12/21 下午 8:09:58,1216,梅納海葵,"職業經驗值: ??? -> 11,922",,,,,,TRUE,成功於 2025-12-21 20:55 處理
,2025/12/22 上午 3:43:41,1194,捲甲蟲,"經驗值: ??? -> 32,895
職業經驗值: ??? -> 6,579",,,,,,TRUE,成功於 2025-12-22 10:25 處理
,2025/12/22 上午 9:08:02,1036,綠腐屍,"經驗值: 56,730 -> 19,556
職業經驗值: 14,274 -> 3,911",,,,,,TRUE,成功於 2025-12-22 10:25 處理
ED,2025/12/22 上午 9:12:55,1130,南瓜先生,"經驗值: 18,863 -> 19,761
職業經驗值: ??? -> 3,952",,,,,,TRUE,成功於 2025-12-22 10:25 處理
ED,2025/12/22 上午 9:17:42,1061,夢魘,"經驗值: ??? -> 38,627
職業經驗值: ??? -> 7,726",,,,,,TRUE,成功於 2025-12-22 10:25 處理
ED,2025/12/22 上午 9:18:45,1079,藍草,"經驗值: ??? -> 521
職業經驗值: ??? -> 104",,,,,,TRUE,成功於 2025-12-22 10:25 處理
,2025/12/23 上午 6:04:11,1165,泥人,,,下級公會員治癒之杖(550140),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/23 下午 5:17:35,1028,邪骸士兵,,,騎兵之劍(500116),,,,TRUE,成功於 2026-01-27 10:06 處理
奶油,2025/12/23 下午 6:58:06,1189,獸人弓箭手,"血量: 4,835 -> 94,836",,,,,,TRUE,成功於 2025-12-24 07:28 處理
奶油,2025/12/23 下午 6:58:59,1211,伊特瓢蟲,"血量: 2,772 -> 88,720
物理防禦: 93 -> 350",,,,,,TRUE,成功於 2025-12-24 07:28 處理
奶油,2025/12/23 下午 6:59:47,1213,獸人戰士長,"血量: 4,193 -> 103,962",,,,,,TRUE,成功於 2025-12-24 07:28 處理
,2025/12/24 上午 6:15:57,1169,邪骸礦工,"經驗值: ??? -> 63,000",,,,,,TRUE,成功於 2025-12-24 07:28 處理
,2025/12/24 下午 3:11:55,1151,麥斯特,100%命中: 337 -> 350,,,,,,TRUE,成功於 2025-12-24 15:40 處理
