"ID","中文名稱","英文名稱","等級","HP","種族","體型","屬性","經驗值","職業經驗值","防禦","魔防","100%命中(僅供參考)","95%迴避(僅供參考)","掉落物","出沒地"
"2450","盜賊波利","THIEF_PORING","1","30","植物","中","水 1","","","2","5","203","178","神秘藍箱(1.0%), 禮物箱(5.0%)",""
"2696","菁英波利","C3_PORING","1","275","植物","中","水 1","4500","390","2","5","203","178","傑勒比結晶(100.0%), 波利卡片(1.0%), 短劍[4](5.0%), 粘稠液體(20.0%), 蒼蠅翅膀(25.0%), 蘋果(50.0%), 蘋果(7.5%), 青澀蘋果(1.0%), 青蘋果(1.0%)","prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域)"
"2697","憤怒波利","C4_PORING","1","275","植物","中","水 1","4500","390","2","5","203","178","傑勒比結晶(100.0%), 波利卡片(1.0%), 短劍[4](5.0%), 粘稠液體(20.0%), 蒼蠅翅膀(25.0%), 蘋果(50.0%), 蘋果(7.5%), 青澀蘋果(1.0%), 青蘋果(1.0%)","prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域)"
"2698","狡猾波利","C5_PORING","1","275","植物","中","水 1","4500","390","2","5","203","178","傑勒比結晶(100.0%), 波利卡片(1.0%), 短劍[4](5.0%), 粘稠液體(20.0%), 蒼蠅翅膀(25.0%), 蘋果(50.0%), 蘋果(7.5%), 青澀蘋果(1.0%), 青蘋果(1.0%)","prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域)"
"2699","迅捷波利","C1_PORING","1","275","植物","中","水 1","4500","390","2","5","203","178","傑勒比結晶(100.0%), 波利卡片(1.0%), 短劍[4](5.0%), 粘稠液體(20.0%), 蒼蠅翅膀(25.0%), 蘋果(50.0%), 蘋果(7.5%), 青澀蘋果(1.0%), 青蘋果(1.0%)","gef_fild07(吉芬區域), prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域)"
"1113","土波利","DROPS","2","46","植物","中","火 1","300","29","16","0","203","178","(服飾)粉紗髮圈(歸屬)(???%), 傑勒比結晶(70.0%), 土波利卡片(0.2%), 手杖[4](0.8%), 濃縮柳橙汁(0.2%), 粘稠液體(6.0%), 蒼蠅翅膀(5.0%), 蘋果(10.0%), 蘋果(4.0%)","moc_f12_a(蘇克拉特沙漠), moc_f12_b(蘇克拉特沙漠), moc_f12_z(蘇克拉特沙漠), moc_fild07(蘇克拉特沙漠), moc_fild12(蘇克拉特沙漠), pay_f04_a(蘇克拉特沙漠), pay_f04_b(蘇克拉特沙漠), pay_f04_z(蘇克拉特沙漠), pay_fild04(蘇克拉特沙漠), xma_d01_a(玩具工廠倉庫), xma_d01_b(玩具工廠倉庫), xma_d01_z(玩具工廠倉庫), xmas_dun01(玩具工廠倉庫)"
"2845","菁英土波利","C3_DROPS","2","230","植物","中","火 1","4500","439","16","0","203","178","傑勒比結晶(100.0%), 土波利卡片(1.0%), 手杖[4](4.0%), 濃縮柳橙汁(1.0%), 粘稠液體(30.0%), 蒼蠅翅膀(25.0%), 蘋果(20.0%), 蘋果(50.0%)","moc_fild07(蘇克拉特沙漠)"
"1063","瘋兔","LUNATIC","3","48","動物","小","無 3","150","30","18","0","207","182","(服飾)幸運草(歸屬)(???%), 三葉幸運草(70.0%), 小丑鼻子(0.04%), 彩色紅蘿蔔(0.2%), 柔毛(30.0%), 瘋兔卡片(0.2%), 紅蘿蔔(30.0%), 蒼蠅翅膀(5.0%), 長劍[4](1.0%)","gef_f04_a(吉芬區域), gef_f04_b(吉芬區域), gef_f04_z(吉芬區域), gef_fild04(吉芬區域), maz_d01_a(迷宮森林1樓), maz_d01_b(迷宮森林1樓), maz_d01_z(迷宮森林1樓), prt_f02_a(普隆德拉區域), prt_f02_b(普隆德拉區域), prt_f02_z(普隆德拉區域), prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild01(普隆德拉區域), prt_fild02(普隆德拉區域), prt_fild06(普隆德拉區域), prt_fild08(普隆德拉區域), prt_maze01(迷宮森林1樓)"
"2770","雄壯瘋兔","C2_LUNATIC","3","480","動物","小","無 3","","","18","0","207","182","三葉幸運草(100.0%), 小丑鼻子(0.2%), 彩色紅蘿蔔(1.0%), 柔毛(100.0%), 瘋兔卡片(1.0%), 紅蘿蔔(100.0%), 蒼蠅翅膀(25.0%), 長劍[4](5.0%)","prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域)"
"2771","菁英瘋兔","C3_LUNATIC","3","240","動物","小","無 3","4500","488","18","0","207","182","三葉幸運草(100.0%), 小丑鼻子(0.2%), 彩色紅蘿蔔(1.0%), 柔毛(100.0%), 瘋兔卡片(1.0%), 紅蘿蔔(100.0%), 蒼蠅翅膀(25.0%), 長劍[4](5.0%)","prt_fild01(普隆德拉區域)"
"1008","蟲蛹","PUPA","4","51","昆蟲","小","地 1","314","36","24","2","206","184","(服飾)頭箍(歸屬)(???%), 堅硬外殼(10.0%), 強化武器金屬-級數一(6.0%), 粘稠液體(7.0%), 蒼蠅翅膀(5.0%), 蛹殼(70.0%), 蟲蛹卡片(0.01%), 鐵盾[1](0.2%), 鐵礦石(5.0%)","gef_fild07(吉芬區域), maz_d01_a(迷宮森林1樓), maz_d01_b(迷宮森林1樓), maz_d01_z(迷宮森林1樓), pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_fild03(斐揚森林), prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域), prt_maze01(迷宮森林1樓)"
"1011","蒼蠅","CHONCHON","5","48","昆蟲","小","風 1","300","39","27","0","210","184","(服飾)糞便帽(歸屬)(???%), 傑勒比結晶(20.0%), 卡特短劍[4](0.5%), 堅硬外殼(70.0%), 蒼蠅卡片(0.2%), 蒼蠅娃娃(0.06%), 蒼蠅翅膀(5.0%), 鐵(0.5%), 鐵礦石(2.0%)","gef_f04_a(吉芬區域), gef_f04_b(吉芬區域), gef_f04_z(吉芬區域), gef_fild00(吉芬區域), gef_fild04(吉芬區域), gef_fild07(吉芬區域), maz_d01_a(迷宮森林1樓), maz_d01_b(迷宮森林1樓), maz_d01_z(迷宮森林1樓), moc_fild07(蘇克拉特沙漠), prt_maze01(迷宮森林1樓)"
"2872","狡猾蒼蠅","C5_CHONCHON","5","240","昆蟲","小","風 1","4500","585","27","0","210","184","傑勒比結晶(100.0%), 卡特短劍[4](2.5%), 堅硬外殼(100.0%), 蒼蠅卡片(1.0%), 蒼蠅娃娃(0.3%), 蒼蠅翅膀(25.0%), 鐵(2.5%), 鐵礦石(10.0%)","gef_fild00(吉芬區域)"
"1007","綠棉蟲","FABRE","6","59","昆蟲","小","地 1","158","31","24","0","212","189","(服飾)草帽(歸屬)(???%), 三葉幸運草(10.0%), 坎普茲弓[4](2-3詞條)(???%), 木錘[4](2-3詞條)(0.8%), 木錘[4](2-3詞條)(2.0%), 柔毛(10.0%), 毛(70.0%), 綠棉蟲卡片(0.2%), 綠色藥草(30.0%), 草帽(???%), 蒼蠅翅膀(5.0%)","gef_f04_a(吉芬區域), gef_f04_b(吉芬區域), gef_f04_z(吉芬區域), gef_fild00(吉芬區域), gef_fild04(吉芬區域), gef_fild07(吉芬區域), maz_d01_a(迷宮森林1樓), maz_d01_b(迷宮森林1樓), maz_d01_z(迷宮森林1樓), pay_f01_a(斐揚森林), pay_f01_b(斐揚森林), pay_f01_z(斐揚森林), pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_fild01(斐揚森林), pay_fild03(斐揚森林), prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild01(普隆德拉區域), prt_fild06(普隆德拉區域), prt_fild08(普隆德拉區域), prt_maze01(迷宮森林1樓)"
"2835","雄壯綠棉蟲","C2_FABRE","6","590","昆蟲","小","地 1","4740","634","24","0","212","189","三葉幸運草(50.0%), 木錘[4](2-3詞條)(10.0%), 木錘[4](2-3詞條)(4.0%), 柔毛(50.0%), 毛(100.0%), 綠棉蟲卡片(1.0%), 綠色藥草(100.0%), 蒼蠅翅膀(25.0%)","prt_fild06(普隆德拉區域)"
"2836","菁英綠棉蟲","C3_FABRE","6","295","昆蟲","小","地 1","4740","634","24","0","212","189","三葉幸運草(50.0%), 木錘[4](2-3詞條)(10.0%), 木錘[4](2-3詞條)(4.0%), 柔毛(50.0%), 毛(100.0%), 綠棉蟲卡片(1.0%), 綠色藥草(100.0%), 蒼蠅翅膀(25.0%)","pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_fild03(斐揚森林)"
"1047","大嘴鳥蛋","PECOPECO_EGG","7","70","無形","小","無 3","304","46","16","5","218","188","堅硬外殼(7.5%), 大嘴鳥蛋卡片(0.01%), 強化武器金屬-級數一(1.25%), 白色盤子(0.05%), 紅色藥草(2.0%), 鐵盾[1](0.01%)","moc_f12_a(蘇克拉特沙漠), moc_f12_b(蘇克拉特沙漠), moc_f12_z(蘇克拉特沙漠), moc_fild01(蘇克拉特沙漠), moc_fild02(蘇克拉特沙漠), moc_fild07(蘇克拉特沙漠), moc_fild12(蘇克拉特沙漠)"
"1010","樹精","WILOW","8","78","植物","中","地 1","160","32","38","2","212","191","(服飾)天地樹苗頭飾(歸屬)(???%), 世界樹枝(30.0%), 天地樹枝(10.0%), 智慧樹枝(20.0%), 枯木汁(20.0%), 樹根(90.0%), 樹精卡片(0.1%), 瑪哪樹枝(1.0%), 蕃薯(10.0%)","mjolnir_09(妙勒尼山脈南邊山麓), pay_f01_a(斐揚森林), pay_f01_b(斐揚森林), pay_f01_z(斐揚森林), pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_fild01(斐揚森林), pay_fild03(斐揚森林)"
"2615","菁英樹精","C3_WILOW","8","390","植物","中","地 1","4800","731","38","2","212","191","世界樹枝(100.0%), 天地樹枝(50.0%), 智慧樹枝(100.0%), 枯木汁(100.0%), 樹根(100.0%), 樹精卡片(0.5%), 瑪哪樹枝(5.0%), 蕃薯(50.0%)","pay_f01_a(斐揚森林), pay_f01_b(斐揚森林), pay_f01_z(斐揚森林), pay_fild01(斐揚森林)"
"1049","小雞","PICKY","9","70","動物","小","火 1","","","21","3","218","190","(服飾)跳躍的小雞(歸屬)(???%), 小雞卡片(0.2%), 柔毛(10.0%), 棉襯衫[1](2.0%), 牛奶(10.0%), 紅色藥草(10.0%), 羽毛(70.0%), 蒼蠅翅膀(5.0%), 黃色魔力礦石(0.6%)","moc_f12_a(蘇克拉特沙漠), moc_f12_b(蘇克拉特沙漠), moc_f12_z(蘇克拉特沙漠), moc_fild07(蘇克拉特沙漠), moc_fild12(蘇克拉特沙漠)"
"2404","變異幽浮水母","DEAD_PLANKTON","9","95","不死","小","不死 1","","","21","3","214","190","加勒結晶(0.7%), 單細胞(20.0%), 粘稠液體(1.7%), 酒精(0.01%), 集中藥水(0.1%), 青苔(0.05%)","treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓)"
"1050","蛋殼小雞","PICKY_","10","77","動物","小","火 1","310","55","48","10","218","190","(服飾)蛋殼小雞玩偶(歸屬)(???%), 寵物蛋殼帽(0.2%), 柔毛(10.0%), 牛奶(10.0%), 紅色藥草(10.0%), 羽毛(70.0%), 蒼蠅翅膀(5.0%), 蛋殼小雞卡片(0.2%), 蛋殼帽(0.3%)","moc_f12_a(蘇克拉特沙漠), moc_f12_b(蘇克拉特沙漠), moc_f12_z(蘇克拉特沙漠), moc_fild07(蘇克拉特沙漠), moc_fild12(蘇克拉特沙漠)"
"2712","憤怒小雞","C4_PICKY_","10","385","動物","小","火 1","4650","829","48","10","220","190","寵物蛋殼帽(1.0%), 柔毛(50.0%), 牛奶(50.0%), 紅色藥草(50.0%), 羽毛(100.0%), 蒼蠅翅膀(25.0%), 蛋殼小雞卡片(1.0%), 蛋殼帽(1.5%)","moc_f12_a(蘇克拉特沙漠), moc_f12_b(蘇克拉特沙漠), moc_f12_z(蘇克拉特沙漠), moc_fild12(蘇克拉特沙漠)"
"1004","蜂兵","HORNET","11","85","昆蟲","小","風 1","316","58","7","1","236","188","(服飾)蜂蜜鬆餅(歸屬)(???%), 傑勒比結晶(30.0%), 笨拙短劍[4](0.2%), 綠色藥草(5.0%), 蒼蠅翅膀(5.0%), 蜂兵卡片(0.2%), 蜂蜜(1.0%), 蜂針(80.0%), 風靈礦石(0.8%)","mjolnir_09(妙勒尼山脈南邊山麓), prt_fild05(普隆德拉區域)"
"2798","狡猾蜂兵","C5_HORNET","11","425","昆蟲","小","風 1","","","7","1","236","188","傑勒比結晶(100.0%), 笨拙短劍[4](1.0%), 綠色藥草(25.0%), 蒼蠅翅膀(25.0%), 蜂兵卡片(1.0%), 蜂蜜(5.0%), 蜂針(100.0%), 風靈礦石(4.0%)","prt_fild05(普隆德拉區域)"
