"id","名稱","敘述","類別","子類別","攻擊","防禦","重量","買價","賣價"
"526","蜂膠","從蜂蜜收集來的物品,此物品蜂后專門食用的食品, 對身體健康有相當幫助,可恢復所有狀態且增加HP和SP。","消耗/恢復","-","0","0","15","7000","3500"
"528","魔物飼料","魔物們最喜愛的加工食品,可恢復少量的HP。","消耗/恢復","-","0","0","15","60","30"
"529","糖果","味道甜美的糖果,可恢復45點HP。","消耗/恢復","-","0","0","3","10","5"
"530","柺杖糖","形狀類似柺杖的糖果,可恢復 105點的HP。","消耗/恢復","-","0","0","4","20","10"
"531","蘋果汁","蘋果所壓榨成的果汁,食用時較為方便,恢復的速度會比直接食用還要快。","消耗/恢復","-","0","0","4","20","10"
"532","香蕉汁","把香蕉的果汁裝入瓶中。因爲吃起來很方便，所以比直接吃的時候恢復得更好。","消耗/恢復","-","0","0","4","20","10"
"533","葡萄汁","把葡萄的果汁裝入瓶中。因爲吃起來很方便，所以比直接吃的時候恢復得更好。","消耗/恢復","-","0","0","4","250","125"
"534","紅蘿蔔汁","蘿蔔所壓榨成的果汁,食用時較為方便,恢復的速度會比直接食用還要快。","消耗/恢復","-","0","0","4","20","10"
"535","南瓜","食用南瓜，可恢復少量的HP。","消耗/恢復","-","0","0","2","15","10"
"536","霜淇淋","涼爽的冰淇淋。因為太冰涼了，吃太多說不定會結凍...","消耗/恢復","-","0","0","8","150","10"
"537","寵物飼料","使用寵物喜歡的東西製成的食物。製作過程透明，人類也可以吃。大部分寵物都喜歡吃。","消耗/恢復","-","0","0","1","1000","10"
"538","薑餅","香味十足的烤餅乾,清爽可口,味道鮮美。吃了可以使體力恢復。","消耗/恢復","-","0","0","3","1000","10"
"539","小蛋糕","把大蛋糕切成一小塊,香噴噴而柔軟的奶油,非常順口,吃下去會恢復體力。","消耗/恢復","-","0","0","10","3000","10"
"544","生魚片","海洋的新鮮融入當中，放進嘴裡的瞬間，頓時產生味道的漩渦，加工而成的海鮮肉。","消耗/恢復","-","0","0","3","20","10"
"545","紅色纖細藥水","效能雖然和紅色藥水相同，但變得更輕盈了。","消耗/恢復","-","0","0","2","150","10"
"546","黃色纖細藥水","效能雖然和黃色藥水相同，但變得更輕盈了。","消耗/恢復","-","0","0","3","600","10"
"547","白色纖細藥水","效能雖然和白色藥水相同，但變得更輕盈了。","消耗/恢復","-","0","0","5","1650","10"
"548","起士","可恢復部分SP的獨特香氣是其特徵。","消耗/恢復","-","0","0","5","2800","10"
"549","美味蕃薯","具備高度的恢復力，但如果沒有配水慢慢喝，可能會噎到。","消耗/恢復","-","0","0","8","180","10"
"550","仙貝","吃了還是覺得很空虛，女性們瘦身時常吃的食物。幾乎沒有營養價值？","消耗/恢復","-","0","0","1","10","10"
"551","明蝦壽司","把生魚片加入醋飯中，是東方某個國家的食物。口味酸甜，也能呈現生魚片的風味，味道可說是相當不錯。","消耗/恢復","-","0","0","5","1","10"
"553","包子","在東方的國家從老早以前開始喜愛吃的一種,熱呼呼的裡頭包滿著香香的肉餡,有著看起來很好吃的外表。最近裡頭也包有別種口味等,有著各式各樣示範的食物。","消耗/恢復","-","0","0","5","1","10"
"554","甜米糕","軟綿綿、溫暖與美味製成的糕餅。非常柔軟，不經意吞下去會噎到，說不定會有危險。","消耗/恢復","-","0","0","8","100","10"
"567","蝦子","屬節肢動物中擁有五雙腿的甲殼類,煮熟時會變成粉紅色,非常好吃。恢復少量的HP","消耗/恢復","-","0","0","4","500","10"
"568","檸檬","呈現橢圓形，全熟時呈現黃色，是會散發香氣的水果。酸到光是想像就會讓人流口水！\n恢復少量的SP。","消耗/恢復","-","0","0","4","60","10"
"569","初學者專用藥水","為了在初學者修練場剛展開冒險的初學者，特別製作的初學者專用恢復劑！恢復少量HP。","消耗/恢復","-","0","0","1","20","10"
"576","榴槤","果實上有散發清香的尖刺。恢復少量的HP和SP。","消耗/恢復","-","0","0","6","540","10"
"577","穀物","有一股清淡滋味的農作物, 因管理和長期貯藏都很容易,做為最重要的食糧廣泛用之能恢復少量的 HP","消耗/恢復","-","0","0","2","200","10"
"578","草莓","酸甜的滋味,深受大家喜愛的紅色果實 可以恢復少量的 SP","消耗/恢復","-","0","0","2","200","100"
"579","好吃的魚","依不同的料理方式，可烹調出多種吃法的魚，還能區分成白肉魚和青背魚兩種， 可恢復少量的HP。","消耗/恢復","-","0","0","2","700","10"
"580","麵包","烤出來的色澤和滋味恰到好處的麵包,香味撲鼻.可以恢復少量的 HP","消耗/恢復","-","0","0","2","150","10"
"581","食用香菇","種類繁多味道也多樣的香菇,可以添加在料理上,也能直接烤來吃可以恢復少量的 HP","消耗/恢復","-","0","0","2","40","10"
"582","柳橙","橘色圓形的果實,清爽的香味,可以直接吃或打成果汁、果醬等可以恢復少量的 HP和 SP","消耗/恢復","-","0","0","2","300","150"
"601","蒼蠅翅膀","將蒼蠅的翅膀剪下可以用來製作具有魔法力量的物品,可在地圖上移動至任意的位置上。","消耗/恢復","-","0","0","5","250","125"
"602","蝴蝶翅膀","將蝴蝶的翅膀剪下可以用來製作具有魔法力量的物品,可在地圖上移動至儲存的位置上。","消耗/恢復","-","0","0","5","1000","10"
"603","神秘藍箱","帶著神祕藍光的老舊箱子。打開看的話，感覺好像會出現什麼東西。","消耗/恢復","-","0","0","20","10000","5000"
"604","枯樹枝","經過極為長久歲月帶有魔力的樹枝,它的神秘力量可以召喚來任何有生命的東西。","消耗/恢復","-","0","0","5","50","25"
"605","曼特療傷藥","把名為曼特的植物當作主要原料製成的藥。一定時間內會讓人忘記疼痛，因此也被稱為鎮痛劑。","消耗/恢復","-","0","0","10","2000","10"
"606","蘆薈汁液","去除莖類植物蘆薈的外皮後，裝入去皮後的組織部分。因為散發酸味與清爽的香氣，雖然會有一種讓人排斥的味道，但品嚐過一次後，就絕對無法忘記它的美味。","消耗/恢復","-","0","0","10","1500","10"
"607","天地樹果實","天地樹的果實, 據說食用後精神會為之一振, 感覺活力滿滿。可將使用者的HP和SP全數恢復。\n_\n再使用等候時間 : 5秒","消耗/恢復","-","0","0","30","5000","2500"
"608","天地樹芽","形成這個世界根源的天地樹果實之芽,透露著微微香氣且甘甜美味,可恢復一半的HP 與 SP。\n_\n再使用等候時間 : 3秒","消耗/恢復","-","0","0","30","5000","2500"
"609","返魂符","可令死人死而復生的符咒,可以保持在半生半死的狀態,也就是成為不死的狀態。","消耗/恢復","-","0","0","10","100","50"
"610","天地樹葉子","天地樹復活樹的葉子, 具有強大的生命的力量,可使喪失戰鬥能力的角色復活。","消耗/恢復","-","0","0","10","12000","10"
"611","放大鏡","放大鏡, 更仔細觀察及鑑定物品。可對物品欄未鑑定道具使用[Ctrl+右鍵]鑑定。","消耗/恢復","-","0","0","0.1","40","10"
"612","攜帶用熔礦爐","攜帶用熔礦爐。使用於金屬的製造。使用一次後就會消失。","其他","-","0","0","20","150","10"
"613","鋼鐵錘子","使用鋼鐵製成的錘子。可製作武器。使用一次後就會消失。","其他","-","0","0","20","1000","10"
"614","黃金錘子","使用黃金製成的錘子。可製作武器。使用一次後就會消失。","其他","-","0","0","30","3000","10"
"615","神之金屬錘子","使用神之金屬製成的錘子。可製作武器。使用一次後就會消失。","其他","-","0","0","40","5000","10"
"616","老舊卡冊","裝有卡片的手冊。相當老舊了，感受到未知的力量。","消耗/恢復","-","0","0","5","20","10"
"618","老舊卷軸","老舊破爛的紙卷。打開來看,上面寫滿了許多未知的文字。","其他","-","0","0","2","50","10"
"619","青澀蘋果","尚未熟透就掉落的蘋果。是魔物波利最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","1000","500"
"620","濃縮柳橙汁","柳橙這種水果汁製成的飲料，是魔物土波利最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","1500","750"
"621","苦味草","無論誰吃臉都會苦到皺起來的草，是魔物波波利最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","20","10"
"622","彩色紅蘿蔔","有五種彩虹光芒顏色的紅蘿蔔, 隱隱約約的香氣實在誘人, 是魔物瘋兔最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","2500","1250"
"623","變態蚯蚓","變態蚯蚓脖子上有紅色蝴蝶結, 是魔物小雞最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","4000","2000"
"624","腐臭之魚","腐爛的魚,是魔物蒼蠅最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","2500","1250"
"625","鏽鐵","嚴重生鏽難以使用的鐵,是魔物綠蒼蠅最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","100","50"
"626","魔物飲料","以家禽魔物的血做成的飲料,是魔物赤蒼蠅最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","1500","750"
"627","魔物牛奶","特殊加工製作而成的甜味牛奶, 是魔物小野豬最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","7000","10"
"628","營養大骨","在熾熱的陽光下曬乾而成的骨頭, 是魔物沙漠幼狼最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","10000","5000"
"629","呢喃花","唱歌草上所開出來的花。是魔物搖滾蝗蟲最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","300","150"
"630","青苔","喝飲清晨的露水所長成的青苔, 是魔物魔菇最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","10","5"
"631","青嫩毒草","擁有劇毒的草, 是魔物毒魔菇最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","20","10"
"632","營養蚯蚓","健康又胖嘟嘟的蚯蚓, 是魔物大嘴鳥最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","5000","2500"
"633","魔物番薯","烤好的蕃薯, 是魔物貍貓最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","20","10"
"634","魔物香蕉","在熱帶地方生產的最高級香蕉,是魔物溜溜猴最喜愛的食物。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","20","10"
"635","魔物之證","可以感覺到組織的嚴格紀律,魔物獸人戰士非常喜歡此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","300","10"
"636","魔物信件","收件人不明，無法送件的舊信件。魔物殭屍非常喜歡此物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","100","10"
"637","魔物掃把","代代相傳的舊掃把，魔物土人非常喜歡此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","350","10"
"638","純潔銀刃","代表純潔的銀白色小銀刃,魔物鬼女非常喜歡此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","12000","10"
"639","馴服手鐲","看起來華麗但是令人感覺悲傷的手鐲。魔物伊絲蛇女非常喜愛此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","18000","10"
"640","閃爍之石","非常閃爍的石頭，魔物畢帝特地龍非常喜歡此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","3000","10"
"641","黑暗合約書","黑暗的合約書, 魔物小惡魔非常喜歡此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","100","10"
"642","惡魔召喚書","寫有召喚惡魔相關秘訣的禁書,魔物小巴風特非常喜歡此項物品。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","1800","10"
"643","攜帶用孵蛋器","可以孵化魔物蛋的裝備,攜帶及使用方便,可以喚醒沉睡的寵物。","消耗/恢復","-","0","0","3","10000","5000"
"644","禮物箱","開啟後發現裝有禮物的箱子。打開前無法知道放了什麼東西。","消耗/恢復","-","0","0","20","1000","10"
"645","集中藥水","有提高專注力成分的藥水。服用後攻擊速度會上升。全職業都能使用。","消耗/恢復","-","0","0","10","1200","600"
"656","覺醒藥水","服用後有覺醒效果的神秘藥水。服用後攻擊速度會上升。只有40級以上的角色可以使用，服事 / 祭司 / 吟遊詩人 / 舞孃無法使用。","消耗/恢復","-","0","0","15","2200","10"
"657","菠色克藥水","讓全身血液沸騰，變成狂戰士狀態的驚人藥水。服用後攻擊速度會上升。只有85級以上的角色可使用，限劍士系列／流氓／魔法師／巫師／商人系列／跆拳／拳聖／悟靈士／神槍手／叛亂者能使用。","消耗/恢復","-","0","0","20","4500","10"
"658","組織的團結力","擁有加強一個組織團結程度般的形象。  實際上看見此一雕像的人會感覺到團結程度變牢固。","其他","-","0","0","50","20","10"
"659","心愛女人之回憶","裝載一個不知名少女的回憶, 魔物妖道非常喜愛它。\n無法認養活動魔物、從屬魔物。","寵物","捕捉","0","0","5","500","10"
"662","馬牌","在某個東方國家因公事到地方巡邏時, 給官員的以銅鑄造之圓形牌子,據說古代御史憑此物懲治貪官污吏。\n在一定的時間之內 移動速度會增加","消耗/恢復","-","0","0","3","1450","725"
"678","毒藥瓶","連瓶身都是骸骨形狀的可怕毒藥。喝下後大概就會立刻身亡吧。","其他","-","0","0","10","20","10"
"686","地震術等級3","以古代魔道學精髓而製成,並有著魔法師咒文的紙張,有著地屬性的魔法,可使用等級3的地震術。","消耗/恢復","-","0","0","1","1000","500"
"689","冰箭術等級5","紙張上蘊含使用古代魔導學製成之魔法師的咒語。使用等級5的水屬性魔法冰箭術。","消耗/恢復","-","0","0","1","20","10"
"690","火箭術等級3","以古代魔道學精髓而製成,並有著魔法師咒文的紙張,有著火屬性的魔法,可使用等級3的火箭術。","消耗/恢復","-","0","0","1","1000","500"
"691","火箭術等級5","紙張上蘊含使用古代魔導學製成之魔法師的咒語。使用等級5的火屬性魔法火箭術。","消耗/恢復","-","0","0","1","2000","10"
"692","雷擊術等級3","以古代魔道學精髓而製成,並有著魔法師咒文的紙張,有著風屬性的魔法,可使用等級3的雷擊術。","消耗/恢復","-","0","0","1","1000","500"
"693","雷擊術等級5","紙張上蘊含使用古代魔導學製成之魔法師的咒語。使用等級5的風屬性魔法雷擊術。","消耗/恢復","-","0","0","1","20","10"
"694","聖靈召喚等級3","紙張上蘊含使用古代魔導學製成之魔法師的咒語。使用等級3的暗屬性魔法聖靈突擊。","消耗/恢復","-","0","0","1","1000","10"
"695","聖靈召喚等級5","紙張上蘊含使用古代魔導學製成之魔法師的咒語。使用等級5的念屬性的魔法聖靈召喚。","消耗/恢復","-","0","0","1","2000","10"
"699","火焰之壁等級5","紙張上蘊含使用古代魔導學製成之魔法師的咒語。使用等級5的火屬性魔法火焰之壁。","消耗/恢復","-","0","0","1","2000","10"
"700","冰凍術等級1","以古代魔道學精髓而製成,並有著魔法師咒文的紙張,有著水屬性的魔法,可使用等級1的冰凍術。","消耗/恢復","-","0","0","1","1000","500"
"701","歐拉歐拉","為了引誘盜蟲,利用盜蟲的習性所製成的物品。","其他","-","0","0","20","55000","10"
"702","家畜血","裝有家畜新鮮的血的瓶子,有些禽獸與怪物喜歡這樣物品。","消耗/恢復","-","0","0","10","450","225"
"703","西納雷花","世界各地隨處都可見到的普通植物,雖沒什麼香味,外觀也不顯眼,卻可給很多人帶來淡淡喜悅。","其他","-","0","0","1","500","250"
"704","蘆薈","只在森林深處開花的植物, 因為一年中只在特定的季節開花,所以不是那麼容易可以碰得到。","其他","-","0","0","1","500","250"
"705","三葉幸運草","有著三片心型葉子的植物,6至7月間會開著白色的花,有時候還可以找到有四片葉子的,這類的植物名為幸運草,傳說它會為人帶來好運。","其他","-","0","0","1","10","5"
"706","四葉幸運草","有著四片葉子的幸運草,傳說它會為人帶來好運。","其他","-","0","0","1","80000","40000"
"707","哀唱草","一到有滿月的夜晚就會獨自唱著哀傷的歌曲的神秘植物,傳說以前有位少女,她唱著歌思念離開很久的戀人,但是心愛的他終究沒有歸來,等著等著她就這樣化成了一株草。","其他","-","0","0","1","500","250"
"708","曼特花","可消除記憶的白色植物,含有讓人忘卻苦痛的成分。","其他","-","0","0","1","500","250"
"709","迷幻藥","擁有強烈香氣的花，會當作部分料理的調味料使用。過度服用會產生幻覺。","其他","-","0","0","1","500","10"
"710","幻想花","在深夜裏發著光芒的植物,在人跡罕見的森林裏獨自發著光芒。\n聽說雖然可以在那光芒中看見天國,但若將花摘下來看的話,它的光芒就會消失。","其他","-","0","0","1","1000","500"
"711","芽苗","剛誕生於世界的植物。清秀無瑕的外貌顯得相當可愛。","其他","-","0","0","1","16","8"
"712","花","沒有名稱的花。沒有香味也沒有荊棘。","其他","-","0","0","1","2","1"
"713","空瓶","什麼也沒裝的瓶子。似乎可以在瓶中裝進東西帶走的樣子。","其他","-","0","0","2","400","10"
"714","華麗金屬","帶有耀眼光芒的華麗金屬,據古代文獻記載,它只出現在可以改變這世界的命運的人的面前。","其他","-","0","0","100","2","1"
"715","黃色魔力礦石","具有魔法力量的礦石，使用魔法時可以代替施法者抵消魔法的反作用力。","其他","-","0","0","0.1","450","225"
"716","紅色魔力礦石","具有魔法力量的礦石，使用魔法時可以代替施法者抵消魔法的反作用力。","其他","-","0","0","0.1","450","225"
"717","藍色魔力礦石","具有魔法力量的礦石，使用魔法時可以代替施法者抵消魔法的反作用力。","其他","-","0","0","0.1","450","10"
"718","深紅寶石","泛著深紅色光芒的寶石","其他","-","0","0","10","6000","10"
"719","紫寶石","呈現出紫色光芒的寶石。","其他","-","0","0","10","6000","3000"
"720","天藍寶石","呈現出天空藍之光芒的寶石。","其他","-","0","0","10","6000","3000"
"721","綠寶石","呈現出綠色光芒的寶石。","其他","-","0","0","10","4500","2250"
"722","珍珠","呈現出粉紅色光芒的寶石。","其他","-","0","0","10","6000","3000"
"723","紅寶石","泛著深紅色光芒的寶石","其他","-","0","0","10","4500","10"
"724","詛咒紅寶石","呈現出深紅色光芒的寶石,有著超凡無比的神秘力量。","其他","-","0","0","10","600","300"
"725","大紅寶石","呈現出赤色光芒的寶石。","其他","-","0","0","10","6000","3000"
"726","藍寶石","泛著藍色光芒的寶石。","其他","-","0","0","10","4500","10"
"727","白寶石","呈現出白色光芒的寶石。","其他","-","0","0","10","6000","3000"
"728","黃寶石","呈現出黃色光芒的寶石。","其他","-","0","0","10","4500","2250"
"729","青綠寶石","呈現出青綠色之光芒的寶石。","其他","-","0","0","10","4500","2250"
"730","1克拉鑽石","散發透明與玲瓏光芒的寶石。","其他","-","0","0","10","7500","10"
"731","2克拉鑽石","散發透明與玲瓏光芒的寶石。","其他","-","0","0","10","25000","10"
"732","3克拉鑽石","散發透明與玲瓏光芒的寶石。","其他","-","0","0","10","55000","10"
"733","受損的鑽石","散發透明與玲瓏光芒的寶石。","其他","-","0","0","10","10","10"
"734","紅色相框","紅色的相框，送禮時相當實用。","其他","-","0","0","20","2250","10"
"735","藍色陶瓷器","聽說是由東方某個小國裡相當著名的工匠所製造的。","其他","-","0","0","50","3750","10"
"736","白色盤子","純白乾淨的盤子。","其他","-","0","0","30","1000","500"
"737","黑色杓子","黑色的杓子,因為用特殊材質製造的關係,所以相當輕巧耐用。","其他","-","0","0","5","400","200"
"738","筆筒","可放文具的容器。適合用來送給學生。","其他","-","0","0","10","400","10"
"739","化妝品","有錢的夫人為了裝扮而使用的物品。使用動物的油或植物製成的。","其他","-","0","0","1","10000","10"
"740","瘋兔娃娃","用布和棉花製造的兔子模樣的玩偶,適合送給小淑女們的禮物。","其他","-","0","0","10","1000","10"
"741","波利娃娃","依照非常有人氣的波利怪物的外型所製造的玩偶。","其他","-","0","0","10","1800","10"
"742","蒼蠅娃娃","一部份特殊的人依照他們自己喜歡的怪物蒼蠅的外型所製造的玩偶。","其他","-","0","0","10","3000","1500"
"743","魔菇娃娃","依照棲息在潮濕地區的魔菇外型所製造的玩偶。","其他","-","0","0","10","5500","2750"
"744","花束","一大束花,在表達愛意跟感謝的時候常常用的著。大家都說天底下沒有任何女性會不喜歡這項禮物。","其他","-","0","0","5","1500","10"
"745","捧花","結婚時新娘帶著出現的小花束。據說只要接到新娘丟出的花束，之後就能成功結婚，這是來自遙遠小國的傳說。","其他","-","0","0","5","9000","10"
"746","玻璃珠","用玻璃做成的小珠子,小朋友們常拿來當玩具。","其他","-","0","0","5","1050","10"
"747","水晶鏡子","用水晶製成的鏡子,是女性用來裝扮的必需用品,這比用玻璃做成的鏡子更為高級。","其他","-","0","0","5","15000","10"
"748","永恆玫瑰","永不枯萎的玫瑰, 因為數量不多,所以價值不菲。雖然如此,但因為帶有永不凋謝的愛情的意義,是年輕男子必備的珍貴物品。","其他","-","0","0","1","41250","20625"
"749","冰雕玫瑰","雕刻冰製成的玫瑰。寒冷地區知名雕刻家製成的作品，似乎能當作特殊的禮物。","其他","-","0","0","1","35000","10"
"750","巴風特娃娃","模仿山羊外貌製成的娃娃。因娃娃工匠踏上歧途而製作的作品。","其他","-","0","0","10","18000","10"
"751","俄塞里斯娃娃","模仿木乃伊外貌製成的娃娃。因娃娃工匠踏上歧途而製作的作品。","其他","-","0","0","10","14000","10"
"752","搖滾蝗蟲娃娃","按照在草原上蹦蹦跳跳悠閒的拉著弦樂器的怪物搖滾蝗蟲的模樣所製做來的玩偶,\n雖然它們不和諧的音樂經常引起收割的農人不滿,但因為搖滾蝗蟲的外型看起來相當的討喜, 因此成為買氣相當旺盛的人氣商品。","其他","-","0","0","10","4000","2000"
"753","溜溜猴娃娃","按照在深林裡群居的怪物溜溜猴的模樣所製做出來的玩偶,溜溜猴的模樣相當聰明伶俐可愛,讓人備感親切, 因此深深獲得女性及小孩子們的喜愛。","其他","-","0","0","10","6000","3000"
"754","狸貓娃娃","按照在樹林中存活的怪物狸貓的模樣所製作出來的玩偶,意外的相當受到男性的喜愛。","其他","-","0","0","10","5000","2500"
"756","神之金屬原石","是被稱為神之金屬的礦石。相當稀少,且得來不易,可以說是相當珍貴的物品。","其他","-","0","0","20","550","275"
"757","鋁原石","可以拿來煉鋁的礦石,拿來提煉作成盔甲。","其他","-","0","0","20","650","325"
"784","考古學家的研究日記","考古學家遺失的研究日記","其他","-","0","0","0","20","10"
"785","調查團信物","證明王宮調查團的信物。\n製作成攜帶方便的項鍊形態","其他","-","0","0","0","20","10"
"786","吸血蝙蝠樣本","為了研究吸血蝙蝠而採集的樣本。","其他","-","0","0","0","20","10"
"787","小盜蟲樣本","為了研究小盜蟲而採集的樣本。","其他","-","0","0","0","20","10"
"788","伊美樂的心臟碎片","保管在普隆德拉城地下的伊美樂心臟碎片。","其他","-","0","0","0","20","10"
"789","耀眼鎧甲","商人委託鐵匠製作的閃亮的鎧甲。\n比起實用性，更重視美觀，希望不用穿著這鎧甲去戰鬥…","其他","-","0","0","0","20","10"
"901","辮子","從少女頭上所剪下來的辮子,可向收集商購買。","其他","-","0","0","1","260","130"
"902","樹根","樹木的根,可用來綁東西或當成藥材食用,用途非常廣泛,可向收集商購買。","其他","-","0","0","1","12","6"
"903","爬蟲類舌頭","爬蟲類的舌頭。賣給收藏品商人。","其他","-","0","0","1","140","70"
"904","蠍子尾巴","切斷蠍子後面的尾巴，賣給收集品商人。","其他","-","0","0","1","124","62"
"905","植物梗","植物細長的梗,可以當做藥材,可向收集商購買。","其他","-","0","0","1","46","23"
"906","鱗片梗","有著鱗片的梗,是從怪物森靈身上得來的,可向收集商購買。","其他","-","0","0","1","68","34"
"907","枯木汁","蒐集從樹上流出的液體,可用在製造數種生活用品,可向收集商購買。","其他","-","0","0","1","120","60"
"908","青蛙蛋","從怪物羅達蛙取下來的卯,可向收集商購買。","其他","-","0","0","1","140","70"
"909","傑勒比結晶","從一部份怪物身上得來的結晶,可向收集商購買。","其他","-","0","0","1","6","3"
"910","加勒結晶","從一部份怪物身上得來的結晶,可向收集商購買。","其他","-","0","0","1","40","20"
"911","雪勒結晶","從一部份怪物身上得來的結晶,可向蒐集品商人購買。","其他","-","0","0","1","120","60"
"912","剎勒空結晶","從一部份怪物身上得來的結晶,可向收集商購買。","其他","-","0","0","1","480","240"
"913","蝙蝠牙","怪物吸血蝙蝠尖銳的牙齒,可以用來做衣服或裝飾用。可向收集商購買。","其他","-","0","0","1","34","17"
"914","毛","小型怪身上的毛,可以用來做衣服的原料,可向收集商購買。","其他","-","0","0","1","8","4"
"915","蛹殼","從怪物身上得來的堅硬的外殼,可向收集商購買。","其他","-","0","0","1","8","4"
"916","羽毛","剪下飛行怪物或動物的羽毛，當作布料或飾品使用。賣給收藏品商人。","其他","-","0","0","1","10","5"
"917","鳥指甲","剪下飛行怪物或動物的指甲，賣給收集品商人。","其他","-","0","0","1","20","10"
