魔物名稱,等級,血量,95%迴避,100%命中,屬性,種族,體型,base經驗血量比(經驗值/血量),job經驗血量比,所屬地圖,魔物詳細資料
大腳熊,31,862,213,235,地1,動物,大,0.5998,0.1195,天津町原野 (ama_f01_a)；天津町原野 (ama_f01_b)；天津町原野 (ama_f01_z)；天津町原野 (ama_fild01)；迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；妙勒尼山脈北區 (mjolnir_01)；斐揚森林 (pay_fild07)；迷宮森林1樓 (prt_maze01)；迷宮森林2樓 (prt_maze02),https://twroz.wiki/mob?search_query=1060
大嘴鳥,27,525,226,238,火1,動物,大,0.6286,0.2857,蘇克拉特沙漠 (moc_fild01)；蘇克拉特沙漠 (moc_fild02),https://twroz.wiki/mob?search_query=1019
大嘴鳥蛋,7,70,188,218,無3,無形,小,4.3429,0.6571,蘇克拉特沙漠 (moc_f12_a)；蘇克拉特沙漠 (moc_f12_b)；蘇克拉特沙漠 (moc_f12_z)；蘇克拉特沙漠 (moc_fild01)；蘇克拉特沙漠 (moc_fild02)；蘇克拉特沙漠 (moc_fild07)；蘇克拉特沙漠 (moc_fild12),https://twroz.wiki/mob?search_query=1047
小巴風特,90,65315,325,355,暗1,惡魔,小,0,0,迷宮森林3樓 (maz_d03_a)；迷宮森林3樓 (maz_d03_b)；迷宮森林3樓 (maz_d03_z)；迷宮森林3樓 (prt_maze03),https://twroz.wiki/mob?search_query=1101
小花豹,102,181056,302,306,念1,動物,小,0.6,0,崑崙神仙的圍棋臺 (gon_d02_a)；崑崙神仙的圍棋臺 (gon_d02_b)；崑崙神仙的圍棋臺 (gon_d02_z)；崑崙神仙的圍棋臺 (gon_dun02)；崑崙原野崑崙原野 (gon_f01_a)；崑崙原野 (gon_f01_b)；崑崙原野 (gon_f01_z)；崑崙原野 (gon_fild01),https://twroz.wiki/mob?search_query=1415
小青,106,143105,345,369,風2,人形,中,0,0,龍之城審良宮 (lou_d03_a)；龍之城審良宮 (lou_d03_b)；龍之城審良宮 (lou_d03_z)；龍之城審良宮 (lou_dun03),https://twroz.wiki/mob?search_query=1631
小偷波利,1,0,0,0,水1,植物,中,,,斐揚森林 (pay_fild01),https://twroz.wiki/mob?search_query=25187
小野豬,14,127,211,225,地1,動物,小,1.3543,0.2677,妙勒尼山脈南邊山麓 (mjolnir_09)；普隆德拉區域 (prt_f07_a)；普隆德拉區域 (prt_f07_b)；普隆德拉區域 (prt_f07_z)；普隆德拉區域 (prt_fild00)；普隆德拉區域 (prt_fild07),https://twroz.wiki/mob?search_query=1167
小惡魔,93,91620,383,393,暗1,惡魔,小,0.6,0.12,吉芬地下密穴3樓 (gef_d02_a)；吉芬地下密穴3樓 (gef_d02_b)；吉芬地下密穴3樓 (gef_d02_z)；吉芬地下密穴3樓 (gef_dun02),https://twroz.wiki/mob?search_query=1109
小雞,9,70,190,218,火1,動物,小,0,0,蘇克拉特沙漠 (moc_f12_a)；蘇克拉特沙漠 (moc_f12_b)；蘇克拉特沙漠 (moc_f12_z)；蘇克拉特沙漠 (moc_fild07)；蘇克拉特沙漠 (moc_fild12),https://twroz.wiki/mob?search_query=1049
工蟻,35,977,237,257,地1,昆蟲,小,0.8997,0.1791,螞蟻地獄密穴1樓 (an_d01_a)；螞蟻地獄密穴1樓 (an_d01_b)；螞蟻地獄密穴1樓 (an_d01_z)；螞蟻地獄密穴2樓 (an_d02_a)；螞蟻地獄密穴2樓 (an_d02_b)；螞蟻地獄密穴2樓 (an_d02_z)；螞蟻地獄密穴1樓 (anthell01)；螞蟻地獄密穴2樓 (anthell02)；山特樂曼東區 (cmd_fild08)；山特樂曼南區 (cmd_fild09),https://twroz.wiki/mob?search_query=1160
弓手監護人,74,28634,460,365,無4,人形,大,0,0,,https://twroz.wiki/mob?search_query=1285
弓箭哥布靈,66,5888,295,304,毒1,人形,小,0.6267,0.1805,普隆德拉區域 (prt_f11_a)；普隆德拉區域 (prt_f11_b)；普隆德拉區域 (prt_f11_z)；普隆德拉區域 (prt_fild11),https://twroz.wiki/mob?search_query=1258
元宵童子,90,155389,280,305,無1,人形,小,0.6,0,崑崙原野崑崙原野 (gon_f01_a)；崑崙原野 (gon_f01_b)；崑崙原野 (gon_f01_z)；崑崙原野 (gon_fild01),https://twroz.wiki/mob?search_query=1409
元靈武士,120,175154400,476,473,暗3,人形,大,0,0,天津町 地下神舍 (b_ama_d03)；天津町 地下神舍 (b_ama_d03_z),https://twroz.wiki/mob?search_query=1492
天使波利,100,2172720,416,390,聖4,天使,中,0.2014,0.0262,蘇克拉特沙漠 (pay_f04_z)；蘇克拉特沙漠 (pay_fild04),https://twroz.wiki/mob?search_query=1096
天狗,127,343077,368,348,地2,惡魔,大,0,0,天津町 地下神舍 (ama_d03_a)；天津町 地下神舍 (ama_d03_b)；天津町 地下神舍 (ama_d03_z)；天津町 地下神舍 (ama_dun03),https://twroz.wiki/mob?search_query=1405
巴風特,105,91182000,489,447,暗3,惡魔,大,0,0,迷宮森林3樓 (b_maz_d03)；迷宮森林3樓 (b_maz_d03_z),https://twroz.wiki/mob?search_query=1039
月夜貓,79,68975825,446,405,火3,惡魔,中,0.0514,0.0101,斐揚洞穴5樓-廢村 (b_pay_d04)；斐揚洞穴5樓-廢村 (b_pay_d04_z),https://twroz.wiki/mob?search_query=1150
木乃伊,55,1899,293,259,不死2,不死,中,0,0,金字塔2樓 (moc_pryd02)；金字塔3樓 (moc_pryd03)；金字塔4樓 (moc_pryd04)；金字塔地下1樓 (moc_pryd05)；金字塔2樓 (pry_d02_a)；金字塔2樓 (pry_d02_b)；金字塔2樓 (pry_d02_z)；金字塔3樓 (pry_d03_a)；金字塔3樓 (pry_d03_b)；金字塔3樓 (pry_d03_z)；金字塔4樓 (pry_d04_a)；金字塔4樓 (pry_d04_b)；金字塔4樓 (pry_d04_z)；金字塔地下1樓 (pry_d05_a)；金字塔地下1樓 (pry_d05_b)；金字塔地下1樓 (pry_d05_z),https://twroz.wiki/mob?search_query=1041
木乃伊犬,52,1642,229,257,不死1,不死,中,0,0,金字塔3樓 (moc_pryd03)；金字塔地下1樓 (moc_pryd05)；金字塔地下2樓 (moc_pryd06)；金字塔3樓 (pry_d03_a)；金字塔3樓 (pry_d03_b)；金字塔3樓 (pry_d03_z)；金字塔地下1樓 (pry_d05_a)；金字塔地下1樓 (pry_d05_b)；金字塔地下1樓 (pry_d05_z)；金字塔地下2樓 (pry_d06_a)；金字塔地下2樓 (pry_d06_b)；金字塔地下2樓 (pry_d06_z),https://twroz.wiki/mob?search_query=1032
水母,42,1209,246,272,水2,植物,小,0.6005,0.11,海盜地洞密穴1樓 (iz_d00_a)；海盜地洞密穴1樓 (iz_d00_b)；海盜地洞密穴1樓 (iz_d00_z)；海盜地洞密穴2樓 (iz_d01_a)；海盜地洞密穴2樓 (iz_d01_b)；海盜地洞密穴2樓 (iz_d01_z)；海底洞穴1樓 (iz_dun00)；海底洞穴2樓 (iz_dun01),https://twroz.wiki/mob?search_query=1141
水道小盜蟲,60,0,0,0,無3,昆蟲,小,,,騎士團2樓 (gl_knt02)；地下監獄2樓 (gl_prison1),https://twroz.wiki/mob?search_query=3973
水靈龜,94,196131,341,346,水2,動物,中,0.6,0.12,龜島密穴 (tur_d02_a)；龜島密穴 (tur_d02_b)；龜島密穴 (tur_d02_z)；良龜村 (tur_d03_a)；良龜村 (tur_d03_b)；良龜村 (tur_d03_z)；舊良宮 (tur_d04_a)；舊良宮 (tur_d04_b)；舊良宮 (tur_d04_z)；龜島密穴 (tur_dun02)；良龜村 (tur_dun03)；舊良宮 (tur_dun04),https://twroz.wiki/mob?search_query=1319
火忍西怒畢,123,296769,358,371,暗3,人形,中,0,0,天津町 地下森林戰場 (ama_d02_a)；天津町 地下森林戰場 (ama_d02_b)；天津町 地下森林戰場 (ama_d02_z)；天津町 地下神舍 (ama_d03_a)；天津町 地下神舍 (ama_d03_b)；天津町 地下神舍 (ama_d03_z)；天津町 榻榻米迷宮 (ama_dun01)；天津町 地下森林戰場 (ama_dun02)；天津町 地下神舍 (ama_dun03),https://twroz.wiki/mob?search_query=1401
火焰龜,98,188184,385,354,火2,動物,中,0.594,0.132,良龜村 (tur_d03_a)；良龜村 (tur_d03_b)；良龜村 (tur_d03_z)；舊良宮 (tur_d04_a)；舊良宮 (tur_d04_b)；舊良宮 (tur_d04_z)；良龜村 (tur_dun03)；舊良宮 (tur_dun04),https://twroz.wiki/mob?search_query=1318
火魔巫師,107,64949,446,418,火3,惡魔,中,0,0,樓梯迷宮 (gl_step),https://twroz.wiki/mob?search_query=20380
牛蛙,121,200758,337,335,毒2,動物,中,0,0,天津町 地下森林戰場 (ama_d02_a)；天津町 地下森林戰場 (ama_d02_b)；天津町 地下森林戰場 (ama_d02_z)；天津町 地下森林戰場 (ama_dun02)；天津町原野 (ama_f01_a)；天津町原野 (ama_f01_b)；天津町原野 (ama_f01_z)；天津町原野 (ama_fild01),https://twroz.wiki/mob?search_query=1402
半龍人,84,276854,373,326,火2,龍,大,1.8,0.4112,基乃依沼澤地 (cmd_fild03),https://twroz.wiki/mob?search_query=1262
卡利斯格,98,133320,403,352,不死1,不死,大,0.15,0,克雷斯特漢姆古城2樓 (gl_c02_a)；克雷斯特漢姆古城2樓 (gl_c02_b)；克雷斯特漢姆古城2樓 (gl_c02_z)；克雷斯特漢姆古城2樓 (gl_cas02)；騎士團1樓 (gl_k01_a)；騎士團1樓 (gl_k01_b)；騎士團1樓 (gl_k01_z)；騎士團1樓 (gl_knt01)；騎士團2樓 (gl_knt02),https://twroz.wiki/mob?search_query=1132
卡那多斯,48,1450,250,278,水1,魚貝,小,0.609,0.111,海盜地洞密穴2樓 (iz_d01_a)；海盜地洞密穴2樓 (iz_d01_b)；海盜地洞密穴2樓 (iz_d01_z)；海盜地洞密穴3樓 (iz_d02_a)；海盜地洞密穴3樓 (iz_d02_b)；海盜地洞密穴3樓 (iz_d02_z)；海底洞穴2樓 (iz_dun01)；海底洞穴3樓 (iz_dun02),https://twroz.wiki/mob?search_query=1067
卡拉特小丑,103,55686,369,377,風2,惡魔,中,0,0,克雷斯特漢姆古城1樓 (gl_c01_a)；克雷斯特漢姆古城1樓 (gl_c01_b)；克雷斯特漢姆古城1樓 (gl_c01_z)；克雷斯特漢姆古城1樓 (gl_cas01),https://twroz.wiki/mob?search_query=1267
卡拉蟹,51,3072,254,268,水1,魚貝,小,0.6003,0.1846,克克魔海邊 (cmd_f02_a)；克克魔海邊 (cmd_f02_b)；克克魔海邊 (cmd_f02_z)；克克魔海邊 (cmd_fild02)；克克魔海邊 (cmd_fild04)；發樂斯燈塔 (cmd_fild07),https://twroz.wiki/mob?search_query=1073
卡崙,98,93749250,467,465,水4,動物,大,0.4658,0.0612,,https://twroz.wiki/mob?search_query=1252
卡崙寶寶,94,94150,385,364,水2,動物,中,0.6,0.5533,薑餅城區域 (xma_f01_a)；薑餅城區域 (xma_f01_b)；薑餅城區域 (xma_f01_z)；薑餅城區域 (xmas_fild01),https://twroz.wiki/mob?search_query=1515
古埃及王,69,68810500,370,376,地3,人形,大,0,0,金字塔地下2樓 (b_pry_d06)；金字塔地下2樓 (b_pry_d06_z),https://twroz.wiki/mob?search_query=1511
古鐘魔,81,36490,353,308,地2,無形,中,0.6,0.12,鐘塔2樓 (c_tower2)；鐘塔4樓 (c_tower4)；鐘塔2樓 (tow_d02_a)；鐘塔2樓 (tow_d02_b)；鐘塔2樓 (tow_d02_z),https://twroz.wiki/mob?search_query=1269
史汀,104,12000,360,357,地3,無形,中,0.6316,0.1263,地下洞穴1樓 (gl_dun01)；地下水道3樓 (gl_sew03),https://twroz.wiki/mob?search_query=1207
巧克猴,57,3368,275,306,火1,動物,小,0,0,迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；迷宮森林1樓 (prt_maze01)；汶巴拉滬家森林 (um_fild02)；汶巴拉滬家叢林 (um_fild04),https://twroz.wiki/mob?search_query=1214
巨大萌萌波利,35,72810,258,283,毒1,無形,大,0,0,,https://twroz.wiki/mob?search_query=3812
巨大黃金波利,35,72118,258,283,聖1,無形,大,0,0,,https://twroz.wiki/mob?search_query=3811
巨石怪,79,11933,284,307,無3,無形,大,0.5999,0.1199,山特樂曼西區 (cmd_fild06)；山特樂曼東區 (cmd_fild08),https://twroz.wiki/mob?search_query=1040
巨象甲蟲,66,5888,275,302,地1,昆蟲,小,0.6576,0.1805,妙勒尼山脈南區 (mjolnir_07)；妙勒尼山脈南區 (mjolnir_08)；妙勒尼山脈南區 (mjolnir_10)；斐揚森林 (pay_fild10),https://twroz.wiki/mob?search_query=1494
白幽靈,46,1830,274,298,念3,惡魔,小,0.6,0.1197,鐘塔地下4樓 (alde_dun04)；哎喲泰雅古代神殿內部 (ayo_d01_a)；哎喲泰雅古代神殿內部 (ayo_d01_b)；哎喲泰雅古代神殿內部 (ayo_d01_z)；哎喲泰雅古代神殿內部 (ayo_d02_a)；哎喲泰雅古代神殿內部 (ayo_d02_b)；哎喲泰雅古代神殿內部 (ayo_d02_z)；哎喲泰雅古代神殿迷宮 (ayo_dun01)；哎喲泰雅古代神殿內部 (ayo_dun02)；鐘塔4樓 (c_tower4)；吉芬地下密穴3樓 (gef_d02_a)；吉芬地下密穴3樓 (gef_d02_b)；吉芬地下密穴3樓 (gef_d02_z)；吉芬地下密穴3樓 (gef_dun02)；克雷斯特漢姆古城1樓 (gl_c01_a)；克雷斯特漢姆古城1樓 (gl_c01_b)；克雷斯特漢姆古城1樓 (gl_c01_z)；克雷斯特漢姆古城1樓 (gl_cas01)；地下水道1樓 (gl_sew01)；失事輪2樓 (tre_d02_a)；失事輪2樓 (tre_d02_b)；失事輪2樓 (tre_d02_z)；失事輪2樓 (treasure02),https://twroz.wiki/mob?search_query=1179
白幽靈,34,0,0,0,暗1,惡魔,小,,,克雷斯特漢姆古城2樓 (gl_c02_a)；克雷斯特漢姆古城2樓 (gl_c02_b)；克雷斯特漢姆古城2樓 (gl_c02_z)；克雷斯特漢姆古城2樓 (gl_cas02)；斐揚洞穴4樓-廢村 (pay_d03_a)；斐揚洞穴4樓-廢村 (pay_d03_b)；斐揚洞穴4樓-廢村 (pay_d03_z)；斐揚洞穴4樓-廢村 (pay_dun03),https://twroz.wiki/mob?search_query=1185
白素貞,116,175513800,547,561,風3,人形,大,0,0,龍之城審良宮 (b_lou_d03)；龍之城審良宮 (b_lou_d03_z),https://twroz.wiki/mob?search_query=1630
白草,1,7,172,202,地1,植物,小,0,0,吉芬地下密穴2樓 (gef_d01_a)；吉芬地下密穴2樓 (gef_d01_b)；吉芬地下密穴2樓 (gef_d01_z)；吉芬地下密穴3樓 (gef_d02_a)；吉芬地下密穴3樓 (gef_d02_b)；吉芬地下密穴3樓 (gef_d02_z)；吉芬地下密穴2樓 (gef_dun01)；吉芬地下密穴3樓 (gef_dun02)；崑崙西王母神殿 (gon_d01_a)；崑崙西王母神殿 (gon_d01_b)；崑崙西王母神殿 (gon_d01_z)；崑崙武陵道院 (gon_d03_a)；崑崙武陵道院 (gon_d03_b)；崑崙武陵道院 (gon_d03_z)；崑崙西王母神殿 (gon_dun01)；崑崙武陵道院 (gon_dun03)；獸人地下洞窟1樓 (orc_d01_a)；獸人地下洞窟1樓 (orc_d01_b)；獸人地下洞窟1樓 (orc_d01_z)；獸人地下洞窟2樓 (orc_d02_a)；獸人地下洞窟2樓 (orc_d02_b)；獸人地下洞窟2樓 (orc_d02_z)；獸人地下洞窟1樓 (orcsdun01)；獸人地下洞窟2樓 (orcsdun02)；斐揚洞穴3樓 (pay_d02_a)；斐揚洞穴3樓 (pay_d02_b)；斐揚洞穴3樓 (pay_d02_z)；斐揚洞穴4樓-廢村 (pay_d03_a)；斐揚洞穴4樓-廢村 (pay_d03_b)；斐揚洞穴4樓-廢村 (pay_d03_z)；斐揚洞穴5樓-廢村 (pay_d04_a)；斐揚洞穴5樓-廢村 (pay_d04_b)；斐揚洞穴5樓-廢村 (pay_d04_z)；斐揚洞穴3樓 (pay_dun02)；斐揚洞穴4樓-廢村 (pay_dun03)；斐揚洞穴5樓-廢村 (pay_dun04)；依斯魯得島失事輪1樓 (treasure_n1)；依斯魯得島失事輪2樓 (treasure_n2),https://twroz.wiki/mob?search_query=1082
白鼠,22,420,202,228,暗1,動物,小,0,0,妙勒尼廢棄礦場1樓 (mjo_d01_a)；妙勒尼廢棄礦場1樓 (mjo_d01_b)；妙勒尼廢棄礦場1樓 (mjo_d01_z)；妙勒尼廢棄礦場1樓 (mjo_dun01)；普隆德拉城地下1樓 (prt_ca01)；地下水道1樓 (prt_d01_a)；地下水道1樓 (prt_d01_b)；地下水道1樓 (prt_d01_z)；地下水道2樓 (prt_d02_a)；地下水道2樓 (prt_d02_b)；地下水道2樓 (prt_d02_z)；地下水道3樓 (prt_d03_a)；地下水道3樓 (prt_d03_b)；地下水道3樓 (prt_d03_z)；地下水道1樓 (prt_sewb1)；地下水道2樓 (prt_sewb2)；地下水道3樓 (prt_sewb3),https://twroz.wiki/mob?search_query=1175
白蟻,36,1063,233,258,地1,昆蟲,小,0.6002,0.1204,螞蟻地獄密穴1樓 (an_d01_a)；螞蟻地獄密穴1樓 (an_d01_b)；螞蟻地獄密穴1樓 (an_d01_z)；螞蟻地獄密穴2樓 (an_d02_a)；螞蟻地獄密穴2樓 (an_d02_b)；螞蟻地獄密穴2樓 (an_d02_z)；螞蟻地獄密穴1樓 (anthell01)；螞蟻地獄密穴2樓 (anthell02)；山特樂曼東區 (cmd_fild08)；山特樂曼南區 (cmd_fild09),https://twroz.wiki/mob?search_query=1095
白蟻幼蟲,30,773,220,237,無3,無形,小,0.8978,0.1785,螞蟻地獄密穴1樓 (an_d01_a)；螞蟻地獄密穴1樓 (an_d01_b)；螞蟻地獄密穴1樓 (an_d01_z)；螞蟻地獄密穴2樓 (an_d02_a)；螞蟻地獄密穴2樓 (an_d02_b)；螞蟻地獄密穴2樓 (an_d02_z)；螞蟻地獄密穴1樓 (anthell01)；螞蟻地獄密穴2樓 (anthell02)；山特樂曼東區 (cmd_fild08)；山特樂曼南區 (cmd_fild09),https://twroz.wiki/mob?search_query=1097
皮里恩,92,65796617,407,376,無3,動物,大,0.174,0.0266,蘇克拉特沙漠 (b_moc_f17)；蘇克拉特沙漠 (b_moc_f17_z),https://twroz.wiki/mob?search_query=1159
石斧海盜骷髏,18,280,200,223,不死1,不死,中,0,0,依斯魯得島失事輪1樓 (treasure_n1)；依斯魯得島失事輪2樓 (treasure_n2),https://twroz.wiki/mob?search_query=2405
石炮火樹,83,9926,343,341,火3,植物,中,0.5999,0.12,汶巴拉嚕嚕卡森林 (um_fild01)；汶巴拉滬家森林 (um_fild02)；汶巴拉卡拉拉森林 (um_fild03)；汶巴拉滬家叢林 (um_fild04),https://twroz.wiki/mob?search_query=1495
伊特瓢蟲,75,88720,322,300,火1,昆蟲,小,0.6,0.12,鐘塔地下2樓 (alde_dun02),https://twroz.wiki/mob?search_query=1211
伊莉莎白,126,,,,暗1,人形,中,,,鐘塔地下4樓 (alde_dun04),https://twroz.wiki/mob?search_query=20176
伍坦彈弓手,87,14804,336,312,地2,人形,中,0.5111,0.1445,汶巴拉嚕嚕卡森林 (um_fild01)；汶巴拉滬家森林 (um_fild02)；汶巴拉卡拉拉森林 (um_fild03)；汶巴拉滬家叢林 (um_fild04),https://twroz.wiki/mob?search_query=1498
伍坦戰士,87,11988,324,304,火2,人形,中,0.5999,0.12,汶巴拉嚕嚕卡森林 (um_fild01)；汶巴拉滬家森林 (um_fild02)；汶巴拉卡拉拉森林 (um_fild03)；汶巴拉滬家叢林 (um_fild04),https://twroz.wiki/mob?search_query=1499
光芒草,1,20,202,220,聖1,植物,小,0,0,巴不其卡森林 (cmd_fild01)；基乃依沼澤地 (cmd_fild03)；吉芬地下密穴3樓 (gef_d02_a)；吉芬地下密穴3樓 (gef_d02_b)；吉芬地下密穴3樓 (gef_d02_z)；吉芬地下密穴3樓 (gef_dun02)；吉芬區域 (gef_fild02)；吉芬區域 (gef_fild06)；吉芬區域 (gef_fild07)；龍之城審良宮 (lou_d01_a)；龍之城審良宮 (lou_d01_b)；龍之城審良宮 (lou_d01_z)；龍之城王陵 (lou_dun01)；斐揚洞穴5樓-廢村 (pay_d04_a)；斐揚洞穴5樓-廢村 (pay_d04_b)；斐揚洞穴5樓-廢村 (pay_d04_z)；斐揚洞穴5樓-廢村 (pay_dun04)；蘇克拉特沙漠 (pay_f04_a)；蘇克拉特沙漠 (pay_f04_b)；蘇克拉特沙漠 (pay_f04_z)；斐揚森林 (pay_f08_a)；斐揚森林 (pay_f08_b)；斐揚森林 (pay_f08_z)；蘇克拉特沙漠 (pay_fild04)；斐揚森林 (pay_fild06)；斐揚森林 (pay_fild08)；斐揚森林 (pay_fild09)；普隆德拉區域 (prt_f02_a)；普隆德拉區域 (prt_f02_b)；普隆德拉區域 (prt_f02_z)；普隆德拉區域 (prt_fild00)；普隆德拉區域 (prt_fild02)；普隆德拉區域 (prt_fild10)；汶巴拉嚕嚕卡森林 (um_fild01)；汶巴拉卡拉拉森林 (um_fild03),https://twroz.wiki/mob?search_query=1083
冰波利,40,1856,245,248,水2,植物,中,0.5997,0.1773,蘇克拉特沙漠 (pay_f04_a)；蘇克拉特沙漠 (pay_f04_b)；蘇克拉特沙漠 (pay_f04_z)；蘇克拉特沙漠 (pay_fild04)；玩具工廠倉庫 (xma_d01_a)；玩具工廠倉庫 (xma_d01_b)；玩具工廠倉庫 (xma_d01_z)；薑餅城區域 (xma_f01_a)；薑餅城區域 (xma_f01_b)；薑餅城區域 (xma_f01_z)；玩具工廠倉庫 (xmas_dun01)；薑餅城區域 (xmas_fild01),https://twroz.wiki/mob?search_query=1242
冰暴騎士,92,87009000,493,472,風4,無形,大,0,0,,https://twroz.wiki/mob?search_query=1251
冰魔巫師,105,69300,440,419,水3,惡魔,中,0,0,樓梯迷宮 (gl_step),https://twroz.wiki/mob?search_query=20379
吉克勞斯甲蟲,122,,,,地2,昆蟲,中,,,鐘塔地下1樓 (alde_dun01),https://twroz.wiki/mob?search_query=20179
年獸,52,,305,334,風2,龍,中,,,,https://twroz.wiki/mob?search_query=25253
朽魔,82,28683,362,330,風1,植物,小,0,0,鐘塔1樓 (c_tower1)；鐘塔2樓 (c_tower2)；鐘塔1樓 (tow_d01_a)；鐘塔1樓 (tow_d01_b)；鐘塔1樓 (tow_d01_z)；鐘塔2樓 (tow_d02_a)；鐘塔2樓 (tow_d02_b)；鐘塔2樓 (tow_d02_z),https://twroz.wiki/mob?search_query=1199
死靈,92,62923671,489,428,暗3,惡魔,中,0.1209,0.0143,吉芬地下密穴2樓 (b_gef_d01)；吉芬地下密穴2樓 (b_gef_d01_z),https://twroz.wiki/mob?search_query=1046
死靈騎士,94,112838250,464,411,暗3,惡魔,大,0.0874,0.0117,亡者國都尼芙菲姆 (b_nif)；亡者國都尼芙菲姆 (b_nif_z),https://twroz.wiki/mob?search_query=1373
汙染卡拉蟹,58,0,0,0,水1,魚貝,中,,,克克魔海邊 (cmd_fild02)；克克魔海邊 (cmd_fild04),https://twroz.wiki/mob?search_query=22336
汙染史汀,109,2297907,471,420,地3,無形,中,0,0,地下洞穴1樓 (gl_dun01),https://twroz.wiki/mob?search_query=20370
汙染貝殼魔靈,59,0,0,0,水1,魚貝,中,,,克克魔海邊 (cmd_fild02)；克克魔海邊 (cmd_fild04),https://twroz.wiki/mob?search_query=22337
